,Entity,Type
3721,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3719,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3714,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3715,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3712,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3717,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
3716,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",drug_n
10658,"16,16-dimethylprostaglandin E2",drug_n
10659,"16,16-dimethylprostaglandin E2",drug_n
7137,18-MC,drug_n
7103,18-MC,drug_n
7143,18-MC,drug_n
7142,18-MC,drug_n
7139,18-MC,drug_n
7105,18-MC,drug_n
7135,18-MC,drug_n
7111,18-MC,drug_n
7101,18-MC,drug_n
7116,18-MC,drug_n
7113,18-MC,drug_n
7125,18-MC,drug_n
7119,18-MC,drug_n
7134,18-MC,drug_n
7132,18-MC,drug_n
7127,18-MC,drug_n
7100,18-Methoxycoronaridine,drug_n
3470,25-Dihydroxycholecalciferol D3,drug
6589,25-O-desacetyl metabolites,drug_n
6594,25-O-desacetylrifabutin,drug_n
6610,25-O-desacetylrifabutin,drug_n
133,3-Hydroxydesloratadine,drug_n
135,3-Hydroxydesloratadine,drug_n
3726,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3711,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3713,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3722,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3720,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3718,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3708,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
3727,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",drug_n
130,3-hydroxydesloratadine,drug_n
4144,3H-spiroperidol,drug_n
4138,3H-spiroperidol,drug_n
4142,3H-spiroperidol,drug_n
4149,3H-spiroperidol,drug_n
4148,3H-spiroperidol,drug_n
10488,4-hydroxy-estazolam,drug_n
3476,4-hydroxytamoxifen,drug_n
2281,4-hydroxytolbutamide,drug_n
2276,4-hydroxytolbutamide,drug_n
56,4-methylpyrazole,drug
52,4-methylpyrazole,drug
59,4-methylpyrazole,drug
6928,5-DFCR,drug_n
6929,5-DFUR,drug_n
1385,5-FU,drug
6930,5-FU,drug_n
3695,5-FU,drug
2956,5-HT1 agonists,group
4198,5-HT1 agonists,group
8588,5-HT1 agonists,group
8590,5-HT1 agonists,group
11076,5-HT1 agonists,group
4185,5-HT1B/1D Agonists,group
4186,5-HT1B/1D agonists,group
10809,5-HT3 antagonists,group
11554,5-HT3 antiemetics,group
4267,5-fluorouracil,drug
7016,5-fluorouracil,drug
6940,5-fluorouracil,drug
982,5-oxo-desethylzaleplon,drug_n
983,5-oxo-desethylzaleplon glucuronide,drug_n
10276,6-MP,drug
4809,6-beta-naltrexol,drug_n
3613,6-deoxy penciclovir,drug_n
10314,6-thiouric acid,drug
9240,6MNA,drug_n
9241,6MNA,drug_n
9234,6MNA,drug_n
5543,"8-cyclopentyl-1,3-dipropylxanthine",drug_n
5542,8-phenyltheophylline,drug_n
7527,99mTc-MDP,drug
7531,99mTc-MDP,drug
7522,99mTc-methylene diphosphonate,drug
8301,AAV2,drug_n
8289,AAV2,drug_n
8290,AAV2,drug_n
8287,AAV2,drug_n
6730,ACE Inhibitors,group
1038,ACE Inhibitors,group
1047,ACE Inhibitors,group
2062,ACE inhibitor,group
892,ACE inhibitor,group
1053,ACE inhibitor,group
2060,ACE inhibitor,group
855,ACE inhibitor,group
5366,ACE inhibitor,group
7219,ACE inhibitors,group
5396,ACE inhibitors,group
1050,ACE inhibitors,group
4227,ACE inhibitors,group
4225,ACE inhibitors,group
7164,ACE inhibitors,group
7158,ACE inhibitors,group
2064,ACE inhibitors,group
7004,ACE inhibitors,group
4229,ACE inhibitors,group
2056,ACE inhibitors,group
798,ACE inhibitors,group
6773,ACE inhibitors,group
864,ACE inhibitors,group
1041,ACE inhibitors,group
889,ACE inhibitors,group
861,ACE inhibitors,group
853,ACE inhibitors,group
2423,ACE inhibitors,group
7198,ACE inhibitors,group
6731,ACE inhibitors,group
1043,ACEI,group
1045,ACEI,group
2384,ACEON,brand
2391,ACEON,brand
2416,ACEON,brand
2380,ACEON,brand
2409,ACEON,brand
7848,ACTH,group
10974,ACTH,drug
10972,ACTH,drug
7853,ACTH,group
7855,ACTH,group
2850,ACTH,drug
4,ACTH,drug
7851,ACTH,drug
7986,ACTH,drug
5072,ADL 8-2698,drug
5080,ADL 8-2698,drug
5081,ADL 8-2698,drug
5076,ADL 8-2698,drug
5066,ADL 8-2698,drug
5077,ADL 8-2698,drug
5068,ADL-8-2698,drug
1819,AED,group
1843,AED,group
578,AED,group
1844,AED,group
1847,AED,group
1848,AED,group
585,AED,group
6374,AEDs,group
620,AEDs,group
6362,AEDs,group
605,AEDs,group
6371,AEDs,group
6373,AEDs,group
610,AEDs,group
6350,AEDs,group
6376,AEDs,group
1841,AEDs,group
577,AEDs,group
587,AEDs,group
614,AEDs,group
6378,AEDs,group
9126,AKINETON,brand
6198,ALIMTA,brand
6203,ALIMTA,brand
6206,ALIMTA,brand
6194,ALIMTA,brand
6200,ALIMTA,brand
6193,ALIMTA,brand
6196,ALIMTA,brand
6202,ALIMTA,brand
10187,ALKERAN,brand
3226,ALLEGRA,brand
3235,ALLEGRA,brand
8599,AMERGE,brand
3683,AMEVIVE,brand
3682,AMEVIVE,brand
3681,AMEVIVE,brand
3680,AMEVIVE,brand
3678,AMEVIVE,brand
3674,AMEVIVE,brand
3684,AMEVIVE,brand
3689,AMEVIVE,brand
3690,AMEVIVE,brand
3691,AMEVIVE,brand
3692,AMEVIVE,brand
3685,AMEVIVE,brand
3687,AMEVIVE,brand
3688,AMEVIVE,brand
3686,AMEVIVE,brand
516,ANTICOAGULANTS,group
7272,AOM,drug_n
7271,AOM,drug_n
1046,ARB,group
1044,ARB,group
6755,ASA,drug
6777,ATACAND,brand
30,AUGMENTIN XR,brand
27,AUGMENTIN XR,brand
33,AUGMENTIN XR,brand
29,AUGMENTIN XR,brand
3703,AVASTIN,brand
3702,AVASTIN,brand
3706,AVASTIN,brand
3699,AVASTIN,brand
3697,AVASTIN,brand
9478,AVONEX,brand
9470,AVONEX,brand
9473,AVONEX,brand
9474,AVONEX,brand
4187,AXERT,brand
4214,AXERT,brand
4181,AXERT,brand
4199,AXERT,brand
10277,AZA,drug
3558,Abacavir,drug
11033,Abciximab,drug
4838,Abciximab,drug
4839,Abciximab,drug
4799,Acamprosate,drug
4817,Acamprosate,drug
4811,Acamprosate,drug
4810,Acamprosate,drug
4806,Acamprosate,drug
5806,Acarbose,drug
5786,Acarbose,drug
5798,Acarbose,drug
5790,Acarbose,drug
5795,Acarbose,drug
5778,Acarbose,drug
5777,Acarbose,drug
5804,Acarbose,drug
5808,Acarbose,drug
5787,Acarbose,drug
9916,Acebutolol,drug
3836,Acetaminophen,drug
2035,Acetaminophen,drug
1313,Acetaminophen,drug
1317,Acetaminophen,drug
204,Acetaminophen,drug
908,Acetaminophen,drug
8500,Acetaminophen,drug
11257,Acetazolamide,drug
11262,Acetazolamide,drug
3790,Acetazolamide,drug
5522,Acetazolamide,drug
11259,Acetazolamide,drug
11249,Acetazolamide,drug
11264,Acetazolamide,drug
11251,Acetazolamide,drug
11253,Acetazolamide,drug
11255,Acetazolamide,drug
7966,Acetylcysteine,drug
1705,Acidifying agents,group
11034,Activase,brand
11028,Activase,brand
11041,Activase,brand
11044,Activase,brand
11038,Activase,brand
5039,Adenocard,brand
5049,Adenocard,brand
5048,Adenocard,brand
5047,Adenocard,brand
5058,Adenosine,drug
4474,Adenosine,drug
10971,Adrenal steroids,group
6859,Adrenergic Agents,group
1717,Adrenergic blockers,group
1718,Adrenergic blockers,group
3317,Advil,brand
3100,Agenerase,brand
7429,Agonist/antagonist analgesics,group
7767,Agonist/antagonist analgesics,group
2605,Alcohol,drug
8771,Alcohol,drug
7969,Alcohol,drug
1550,Alcohol,drug
5877,Alcohol,drug
8770,Alcohol,drug
10681,Alcohol,drug
2534,Alcohol,drug
2842,Alcohol,drug
410,Alcohol,drug
8203,Alcohol,drug
3337,Aleve,brand
6786,Aleve,brand
7081,Aliskiren,drug
7080,Aliskiren,drug
7057,Aliskiren,drug
3504,Allopurinol,drug
2560,Allopurinol,drug
7538,Allopurinol,drug
5377,Allopurinol,drug
10311,Allopurinol,drug
4469,Alosetron,drug
4470,Alosetron,drug
8743,Alpha-blockers,group
3950,Alprazolam,drug
7372,Alprazolam,drug
7375,Alprazolam,drug
9563,Alupent,brand
397,Amantadine,drug
2726,Aminoglutethimide,drug
1071,Aminoglutethimide,drug
1070,Aminoglutethimide,drug
10440,Aminoglycosides,group
9856,Amiodarone,drug
11595,Amiodarone,drug
7459,Amitriptyline,drug
10349,Amoxicillin,drug
1786,Amphetamines,group
1728,Amphetamines,group
5902,Amphetamines,group
1782,Amphetamines,group
5904,Amphetamines,group
1775,Amphetamines,group
1771,Amphetamines,group
1768,Amphetamines,group
1761,Amphetamines,group
1752,Amphetamines,group
1745,Amphetamines,group
1742,Amphetamines,group
1784,Amphetamines,group
1073,Amphotericin B,drug
10348,Ampicillin,drug
6602,Amprenavir,drug
5110,Amprenavir,drug
6599,Amprenavir,drug
6604,Amprenavir,drug
5112,Amprenavir,drug
6611,Amprenavir,drug
5109,Amprenavir,drug
6592,Amprenavir,drug
5092,Amprenavir,drug
5090,Amprenavir,drug
5091,Amprenavir,drug
6608,Amprenavir,drug
10952,Anabolic steroids,group
10975,Anabolic steroids,drug
9026,Anafranil,brand
8972,Anafranil,brand
8973,Anafranil,brand
8975,Anafranil,brand
9021,Anafranil,brand
9027,Anafranil,brand
8971,Anafranil,brand
9031,Anafranil,brand
9028,Anafranil,brand
5489,Anagrelide,drug
5484,Anagrelide,drug
5490,Anagrelide,drug
5492,Anagrelide,drug
5486,Anagrelide,drug
11446,Anakinra,drug
3335,Anaprox,brand
1207,Androgens,group
3487,Androgens,group
7689,Anesthetics,group
5910,Angiomax,brand
5909,Angiomax,brand
5918,Angiomax,brand
5917,Angiomax,brand
5914,Angiomax,brand
5916,Angiomax,brand
2058,Angiotensin Converting Enzyme (ACE) inhibitors,group
1039,Angiotensin II Receptor Antagonists,group
1048,Angiotensin II Receptor Antagonists,group
2567,Angiotensln Converting Enzyme Inhibitors,group
5018,Antabuse,brand
3256,Antacid,group
6921,Antacid,group
1637,Antacid,group
5723,Antacids,group
4248,Antacids,group
10732,Antacids,group
5270,Antacids,group
802,Antacids,group
4777,Antacids,group
726,Antacids,group
9428,Antacids,group
7323,Antacids,group
3219,Antacids,group
6093,Antacids,group
7909,Antacids,group
1308,Antacids,group
7544,Antacids,group
9242,Antacids,group
4400,Antacids,group
3542,Anti-arrhythmics,group
9855,Antiarrhythmics,group
2767,Antibiotics,group
1079,Antibiotics,group
9214,Anticholinergic agents,group
562,Anticholinergic agents,group
10169,Anticholinergic agents,group
686,Anticholinergic agents,group
9217,Anticholinergic drugs,group
9213,Anticholinergic drugs,group
5608,Anticholinergics,group
10697,Anticholinergics,group
9211,Anticholinergics,group
5502,Anticholinesterases,group
1082,Anticholinesterases,group
10951,Anticoagulants,group
8877,Anticoagulants,group
9963,Anticoagulants,group
10456,Anticoagulants,group
4334,Anticoagulants,group
9755,Anticoagulants,group
1282,Anticoagulants,group
8131,Anticoagulants,group
7926,Anticoagulants,group
513,Anticoagulants,group
5633,Anticoagulants,group
2866,Anticoagulants,group
1087,Anticoagulants,group
1496,Anticoagulants,group
7191,Anticoagulants,group
1494,Anticoagulants,group
9859,Anticonvulsants,group
1267,Anticonvulsants,group
5949,Antidepressant,group
1726,Antidepressants,group
7972,Antidiabetic drugs,group
1091,Antidiabetics,group
6732,Antiepileptic Drugs,group
6349,Antiepileptic Drugs,group
1839,Antiepileptic drugs,group
9863,Antifungals,group
5384,Antihistamines,group
4565,Antihistamines,group
9679,Antihistamines,group
1741,Antihistamines,group
7050,Antihypertensive,group
8126,Antihypertensives,group
2838,Antihypertensives,group
1744,Antihypertensives,group
10138,Antiminth,drug
9756,Antiplatelet Agents,group
9763,Antiplatelets,group
8873,Antipsychotic drugs,group
3260,Antipyrine,drug
658,Antipyrine,drug
659,Antipyrine,drug
4952,Antiretroviral,group
11046,Antiretroviral Agents,group
7584,Antiretroviral Drugs,group
9880,Antithrombotics,group
11035,Antithrombotics,group
759,Antizol,brand
758,Antizol,brand
755,Antizol,brand
5980,Apraclonidine,drug
10915,Aprepitant,drug
10877,Aprepitant,drug
10818,Aprepitant,drug
10816,Aprepitant,drug
10797,Aprepitant,drug
10876,Aprepitant,drug
10798,Aprepitant,drug
10874,Aprepitant,drug
10872,Aprepitant,drug
10867,Aprepitant,drug
10861,Aprepitant,drug
10860,Aprepitant,drug
10851,Aprepitant,drug
10853,Aprepitant,drug
10807,Aprepitant,drug
10806,Aprepitant,drug
10804,Aprepitant,drug
10864,Aprepitant,drug
10822,Aprepitant,drug
10880,Aprepitant,drug
10883,Aprepitant,drug
10840,Aprepitant,drug
10912,Aprepitant,drug
10910,Aprepitant,drug
10838,Aprepitant,drug
10906,Aprepitant,drug
10904,Aprepitant,drug
10902,Aprepitant,drug
10844,Aprepitant,drug
10916,Aprepitant,drug
10836,Aprepitant,drug
10829,Aprepitant,drug
10846,Aprepitant,drug
10826,Aprepitant,drug
10897,Aprepitant,drug
10896,Aprepitant,drug
10884,Aprepitant,drug
10848,Aprepitant,drug
10824,Aprepitant,drug
10834,Aprepitant,drug
10886,Aprepitant,drug
10801,Aprepitant,drug
6029,Aranesp,brand
837,Arecoline,drug_n
2036,Argatroban,drug
2040,Argatroban,drug
2042,Argatroban,drug
2044,Argatroban,drug
2047,Argatroban,drug
2033,Argatroban,drug
2031,Argatroban,drug
2049,Argatroban,drug
2053,Argatroban,drug
2029,Argatroban,drug
2038,Argatroban,drug
5089,Aricept,brand
3308,Arthropan,drug
3068,As(V),drug_n
3064,As(V),drug_n
3062,As(V),drug_n
3065,As(V),drug_n
3066,As(V),drug_n
3067,As(V),drug_n
3070,As(V),drug_n
3069,As(V),drug_n
4001,Ascorbic acid,drug
2614,Aspirin,brand
1347,Aspirin,brand
2034,Aspirin,brand
7342,Aspirin,brand
9958,Aspirin,brand
4215,Aspirin,brand
8776,Aspirin,brand
11036,Aspirin,brand
5259,Aspirin,brand
7053,Aspirin,brand
1136,Aspirin,brand
5569,Aspirin,brand
2065,Aspirin,brand
3120,Aspirin,brand
3921,Astemizole,drug
3108,Astramorph,brand
3290,Atorvastatin,drug
3271,Atorvastatin,drug
7303,Atovaquone,drug
6906,Atracurium,drug
6904,Atracurium,drug
3095,Atromid-S,brand
4109,Atropine,drug
9773,Auranofin,drug
9777,Auranofin,drug
10310,Azathioprine,drug
10614,Azithromycin,drug
4956,Azithromycin,drug
4960,Azithromycin,drug
138,Azithromycin,drug
8190,Azlocillin,drug
3345,Azulfidine,brand
2377,BARACLUDE,brand
2376,BARACLUDE,brand
2370,BARACLUDE,brand
8801,BOTOX,brand
10549,BREVIBLOC,brand
10551,BREVIBLOC,brand
10544,BREVIBLOC,brand
10541,BREVIBLOC,brand
10538,BREVIBLOC,brand
10556,BREVIBLOC,brand
10553,BREVIBLOC,drug
10536,BREVIBLOC,brand
10566,BREVIBLOC,brand
10534,BREVIBLOC,brand
10564,BREVIBLOC,brand
10557,BREVIBLOC,brand
10547,BREVIBLOC,brand
6277,BROVANA,brand
6276,BROVANA,brand
6275,BROVANA,brand
6280,BROVANA,brand
6285,BROVANA,brand
6253,BROVANA,brand
6279,BROVANA,brand
6250,BROVANA,brand
6267,BROVANA,brand
6252,BROVANA,brand
11568,BUSULFEX,brand
11564,BUSULFEX,brand
11562,BUSULFEX,brand
11559,BUSULFEX,brand
3505,Bacteriostatic Antibiotics,group
3340,Bactrim,brand
11230,Barbiturates,group
4129,Barbiturates,group
11019,Barbiturates,group
9056,Barbiturates,group
2843,Barbiturates,group
7218,Benazepril,drug
8087,Bentiromide,drug
3940,Benzodiazepines,group
10121,Benzodiazepines,group
7708,Benzodiazepines,group
3939,Benzodiazepines,group
6779,Benzthiazide,drug
193,Benzyl alcohol,drug_n
10025,Benzylpenicillin,drug
3521,Bepridil,drug
3532,Bepridil,drug
3523,Bepridil,drug
3518,Bepridil,drug
7660,Beta Blockers,group
2936,Beta Blockers,group
9565,Beta adrenergic agonists,group
9921,Beta-Blockers,group
5121,Beta-adrenergic Blocking Agents,group
7300,Beta-adrenergic blocking agents,group
6089,Beta-adrenergic blocking agents,group
5349,Beta-adrenergic blocking drugs,group
6283,Beta-adrenergic receptor antagonists,group
9911,Beta-blockers,group
6286,Beta-blockers,group
2448,Beta-blockers,group
8278,Beta-blockers,group
3522,Beta-blocking Agents,group
2,Betaseron,brand
5,Betaseron,brand
8,Betaseron,brand
6,Betaseron,brand
6431,Bexarotene,drug
6010,Bezalip,brand
6027,Bezalip,brand
6005,Bezalip,brand
6013,Bezalip,brand
6009,Bezalip,brand
6019,Bezalip,brand
6023,Bezalip,brand
6003,Bezalip,brand
6028,Bezalip retard,brand
6014,Bezalip retard,brand
6006,Bezalip retard,brand
6024,Bezalip retard,brand
6004,Bezalip retard,brand
6020,Bezalip retard,brand
533,Bile acid sequestrants,group
7361,Bisphosphonates,group
7275,Bombesin,drug_n
10603,Boric acid,drug
313,Bosentan,drug
333,Bosentan,drug
264,Bosentan,drug
300,Bosentan,drug
260,Bosentan,drug
262,Bosentan,drug
9040,Bretylium Tosylate,drug
9037,Bretylium Tosylate,drug
9033,Bretylium Tosylate,drug
6541,Broad-Spectrum Antibiotics,group
6542,Broad-spectrum antibiotics,group
6845,Bromocriptine mesylate,drug
8127,Bumetanide,drug
6968,Buprenorphine,drug
898,Butalbital,drug
9081,Butyrophenones,group
4889,CANCIDAS,brand
4892,CANCIDAS,brand
4883,CANCIDAS,brand
4864,CANCIDAS,brand
4858,CANCIDAS,brand
4870,CANCIDAS,brand
4878,CANCIDAS,brand
4876,CANCIDAS,brand
4867,CANCIDAS,brand
4898,CANCIDAS,brand
9171,CASODEX,brand
9168,CASODEX,brand
4984,CCI-779,drug
4981,CCI-779,drug
4979,CCI-779,drug
5427,CEFOTAN,brand
5430,CEFOTAN,brand
5428,CEFOTAN,brand
5552,CGS 21680,drug
5546,CGS 21680,drug_n
5550,CGS21680,drug_n
3759,CHOLESTYRAMINE,drug
3761,CHOLESTYRAMINE,drug
10101,CMC-Cys,drug_n
10078,CMC-Cys,drug_n
10091,CMC-Cys,drug_n
8992,CMI,drug
8991,CMI,drug
8983,CMI,drug
8981,CMI,drug
5508,CNS depressant,group
4124,CNS depressant,group
11112,CNS depressant drugs,group
8414,CNS depressant drugs,group
6297,CNS depressant drugs,group
8406,CNS depressant drugs,group
5383,CNS depressant drugs,group
5510,CNS depressant medications,group
10687,CNS depressants,group
5983,CNS depressants,group
4567,CNS depressants,group
6098,CNS depressants,group
10525,CNS depressants,group
7625,CNS depressants,drug
6292,CNS depressants,group
907,CNS depressants,group
3656,CNS depressants,group
5234,CNS depressants,group
6518,CNS depressants,group
9683,CNS depressants,group
10144,CNS depressants,group
7759,CNS depressants,group
3397,CNS depressants,group
7959,CNS depressants,group
11524,CNS depressants,group
5741,CNS depressants,group
11053,CNS depressants,group
3242,CNS depressants,group
2480,CNS depression-producing drugs,group
5901,CNS stimulants,group
5619,CNS-depressant drug,group
8567,COLAZAL,brand
11515,COPAXONE,brand
11517,COPAXONE,brand
11514,COPAXONE,brand
11520,COPAXONE,brand
201,COPEGUS,brand
199,COPEGUS,brand
195,COPEGUS,brand
190,COPEGUS,brand
147,COPEGUS,brand
181,COPEGUS,brand
151,COPEGUS,brand
182,COPEGUS,brand
188,COPEGUS,brand
514,COUMARIN ANTICOAGULANTS,group
5553,CPA,drug_n
5548,CPA,drug_n
5000,CYP2C9,drug
5002,CYP2C9,drug
5001,CYP2C9,drug
1233,CYP3A4,drug
1234,CYP3A4,drug
1243,CYP3A4,drug
1242,CYP3A4,drug
10752,Caffeine,drug
11200,Calan SR,brand
8338,Calcidiol,drug
2486,Calcidiol,drug
8830,Calcitonin (salmon),drug
8831,Calcitonin (salmon),drug
8832,Calcitonin (salmon),drug
8835,Calcitonin (salmon),drug
2485,Calcitriol,drug
8337,Calcitriol,drug
8371,Calcium,drug
2518,Calcium,drug
7322,Calcium,drug
1875,Calcium Antagonists,group
9865,Calcium channel blockers,group
7297,Calcium channel blocking agents,group
5380,Captopril,drug
5341,Captopril,drug
3637,Carbamazepine,drug
9615,Carbamazepine,drug
2669,Carbamazepine,drug
7704,Carbamazepine,drug
1583,Carbamazepine,drug
3818,Carbamazepine,drug
9895,Carbamazepine,drug
3833,Carbamazepine,drug
5062,Carbamazepine,drug
3832,Carbamazepine,drug
1850,Carbamazepine,drug
607,Carbamazepine,drug
3882,Carbamazepine,drug
213,Carbamazepine,drug
3888,Carbamazepine,drug
216,Carbamazepine,drug
3784,Carbamazepine,drug
9860,Carbamazepine,drug
3786,Carbamazepine,drug
591,Carbamazepine,drug
3587,Carbidopa,drug
5370,Cardiac Glycosides,group
3545,Cardiac glycosides,group
4857,Caspofungin,drug
10664,Castor oil,drug
3325,Cataflam,brand
10382,Catecholamine-depleting drugs,group
4363,Caverject,brand
4342,Cefizox,brand
10400,Cefuroxime,drug
1382,Celecoxib,drug
1393,Celecoxib,drug
2721,Celexa,brand
2642,Celexa,brand
10703,Celontin,brand
7757,Central Nervous System Depressants,group
9150,Central Nervous System Depressants,group
10509,Central nervous system depressant,group
9283,Cephalosporins,group
6544,Cephalosporins,group
1904,Cephalosporins,group
8026,Cephalosporins,group
6545,Cephalosporins,group
4024,Cerebyx,brand
4065,Cerebyx,brand
4019,Cerebyx,brand
4083,Cerebyx,brand
4025,Cerebyx,brand
2321,Cerezyme,brand
2323,Cerezyme,brand
2322,Cerezyme,brand
9399,Cetrotide,brand
11233,Chloral hydrate,drug
4579,Chloral hydrate,drug
11434,Chloramphenicol,drug
3506,Chloramphenicol,drug
8091,Chloromycetin,brand
1747,Chlorpromazine,drug
1748,Chlorpromazine,drug
10363,Chlorpropamide,drug
10364,Chlorpropamide,drug
7019,Chlorprothixene,drug
5304,Chlorthalidone,drug
5302,Chlorthalidone,drug
5295,Chlorthalidone,drug
3745,Cholestyramine,drug
2488,Cholestyramine,drug
6553,Cholestyramine,drug
1096,Cholestyramine,drug
9339,Cholestyramine,drug
9338,Cholestyramine,drug
1095,Cholestyramine,drug
11312,Cholestyramine,drug
3731,Cholestyramine,drug
7976,Cholestyramine,drug
8340,Cholestyramine,drug
8339,Cholestyramine,drug
8890,Cholestyramine,drug
8891,Cholestyramine,drug
10992,Cholestyramine,drug
2487,Cholestyramine,drug
5612,Cholinesterase Inhibitors,group
4478,Cholinesterase Inhibitors,group
5611,Cholinomimetics,group
9925,Cimetidine,drug
10761,Cimetidine,drug
6059,Cimetidine,drug
566,Cimetidine,drug
6057,Cimetidine,drug
5149,Cimetidine,drug
997,Cimetidine,drug
2081,Cimetidine,drug
996,Cimetidine,drug
3270,Cimetidine,drug
7637,Cimetidine,drug
10762,Cimetidine,drug
1880,Cimetidine,drug
9924,Cimetidine,drug
3057,Cimetidine,drug
628,Cimetidine,drug
2620,Cimetidine,drug
7671,Cimetidine,drug
1620,Cimetidine,drug
8680,Cimetidine,drug
3056,Cimetidine,drug
140,Cimetidine,drug
5893,Cinacalcet,drug
7234,Cisapride,drug
7236,Cisapride,drug
3922,Cisapride,drug
9651,Cisapride,drug
9876,Cisapride,drug
3821,Cisplatin,drug
8791,Cisplatin,drug
2717,Citalopram,drug
2718,Citalopram,drug
11583,Clarithromycin,drug
9797,Clarithromycin,drug
9796,Clarithromycin,drug
10250,Clarithromycin,drug
9795,Clarithromycin,drug
2830,Clindamycin,drug
3884,Clomipramine HCl,drug
3133,Clonazepam,drug
3138,Clonazepam,drug
3132,Clonazepam,drug
8405,Clonazepam,drug
918,Clostridium difficile toxin A,drug_n
919,Clostridium difficile toxin A,drug_n
9364,Colchicine,drug
6557,Colestipol,drug
3264,Colestipol,drug
3385,Compazine,brand
1629,Contraceptive,group
2115,Contraceptives,group
6384,Contraceptives,group
3511,Contraceptives,group
1888,Contraceptives,group
3033,Contraceptives,group
5578,Contraceptives,group
267,Contraceptives,group
3282,Contraceptives,group
655,Contraceptives,group
8898,Contraceptives,group
2965,Contraceptives,group
1150,Corticosteroids,group
5564,Corticosteroids,group
2849,Corticosteroids,group
1143,Corticosteroids,group
7985,Corticosteroids,group
2512,Corticosteroids,group
8365,Corticosteroids,group
10814,Corticosteroids,group
5119,Corticotropin,drug
7813,Coumadin,brand
11600,Coumarin Anticoagulants,group
6932,Coumarin Anticoagulants,group
5145,Coumarin Anticoagulants,group
6240,Coumarin-Derivative Anticoagulants,group
3101,Crixivan,brand
9780,Cuprimine,brand
2853,Curariform Drugs,group
5810,Cyclopentolate,drug
6948,Cyclophosphamide,drug
